ID Species MaxAge AllocSeed LMR m0 MaxMass mSeed Dist pEstab Gmax SLA palat memo RAR growth mThres clonal propSex meanSpacerLength sdSpacerlength Resshare AllocSpacer mSpacer
126 PFT45clonal2 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 0.75 0.5 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
127 PFT46clonal2 100 0.05 1 1 5000 1 0.1 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
128 PFT47clonal2 100 0.05 1 0.3 2000 0.3 0.3 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
129 PFT48clonal2 100 0.05 1 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
130 PFT49clonal2 100 0.05 0.75 1 5000 1 0.1 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
131 PFT50clonal2 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
132 PFT51clonal2 100 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
133 PFT52clonal2 100 0.05 0.5 1 5000 1 0.1 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
134 PFT53clonal2 100 0.05 0.5 0.3 2000 0.3 0.3 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
135 PFT54clonal2 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
136 PFT55clonal2 100 0.05 1 1 5000 1 0.1 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
137 PFT56clonal2 100 0.05 1 0.3 2000 0.3 0.3 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
138 PFT57clonal2 100 0.05 1 0.1 1000 0.1 0.6 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
139 PFT58clonal2 100 0.05 0.75 1 5000 1 0.1 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
140 PFT59clonal2 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
141 PFT60clonal2 100 0.05 0.75 0.1 1000 0.1 0.6 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
142 PFT61clonal2 100 0.05 0.5 1 5000 1 0.1 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
143 PFT62clonal2 100 0.05 0.5 0.3 2000 0.3 0.3 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
144 PFT63clonal2 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 20 1 1 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
145 PFT64clonal2 100 0.05 1 1 5000 1 0.1 0.5 20 0.75 0.5 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
146 PFT65clonal2 100 0.05 1 0.3 2000 0.3 0.3 0.5 20 0.75 0.5 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
147 PFT66clonal2 100 0.05 1 0.1 1000 0.1 0.6 0.5 20 0.75 0.5 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
148 PFT67clonal2 100 0.05 0.75 1 5000 1 0.1 0.5 20 0.75 0.5 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
149 PFT68clonal2 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 20 0.75 0.5 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
150 PFT69clonal2 100 0.05 0.75 0.1 1000 0.1 0.6 0.5 20 0.75 0.5 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
151 PFT70clonal2 100 0.05 0.5 1 5000 1 0.1 0.5 20 0.75 0.5 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
152 PFT71clonal2 100 0.05 0.5 0.3 2000 0.3 0.3 0.5 20 0.75 0.5 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
153 PFT72clonal2 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 20 0.75 0.5 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
154 PFT73clonal2 100 0.05 1 1 5000 1 0.1 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
155 PFT74clonal2 100 0.05 1 0.3 2000 0.3 0.3 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
156 PFT75clonal2 100 0.05 1 0.1 1000 0.1 0.6 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
157 PFT76clonal2 100 0.05 0.75 1 5000 1 0.1 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
158 PFT77clonal2 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
159 PFT78clonal2 100 0.05 0.75 0.1 1000 0.1 0.6 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
160 PFT79clonal2 100 0.05 0.5 1 5000 1 0.1 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
161 PFT80clonal2 100 0.05 0.5 0.3 2000 0.3 0.3 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
162 PFT81clonal2 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
163 PFT1clonal3 100 0.05 1 1 5000 1 0.1 0.5 60 1 1 2 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
164 PFT2clonal3 100 0.05 1 0.3 2000 0.3 0.3 0.5 60 1 1 2 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
165 PFT3clonal3 100 0.05 1 0.1 1000 0.1 0.6 0.5 60 1 1 2 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
166 PFT4clonal3 100 0.05 0.75 1 5000 1 0.1 0.5 60 1 1 2 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
167 PFT5clonal3 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 1 1 2 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
168 PFT6clonal3 100 0.05 0.75 0.1 1000 0.1 0.6 0.5 60 1 1 2 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
169 PFT7clonal3 100 0.05 0.5 1 5000 1 0.1 0.5 60 1 1 2 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
170 PFT8clonal3 100 0.05 0.5 0.3 2000 0.3 0.3 0.5 60 1 1 2 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
171 PFT9clonal3 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 60 1 1 2 1 0.25 0.2 1 1 17.5 12.5 1 0.05 70
