Sim	Run	Time	Inds	seeds	cover	rootmass	shootmass	PFT	monoculture	invader	AllocSeed	LMR	m0	MaxMass	mSeed	Dist	pEstab	Gmax	SLA	palat	memo	RAR	growth	mThres	clonal	propSex	meanSpacerLength	sdSpacerLength	Resshare	AllocSpacer	mSpacer	
1	0	2	1	0	0.00476667	507.495	497.072	54	NA	NA	0.05	0.75	0.1	1000	0.1	0.6	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	2	1	0	0.0342133	2882.51	348.926	58	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	2	2	0	0.03646	4552.04	1818.33	59	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	2	1	0	0.015	2113.31	721.707	60	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	2	4	0	0.0770267	10550.6	2058.93	61	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	2	1	0	0.0118	2000.94	1286.5	63	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	2	1	0	0.0150667	974.228	229.896	67	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	2	2	0	0.0201667	2012.32	1031.42	68	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	2	1	0	0.0256667	2610.73	444.32	7	NA	NA	0.05	1	1	5000	1	0.1	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	2	5	0	0.0544467	4817.75	1797.87	70	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	2	1	0	0.00615333	1049.35	518.268	71	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	2	1	0	0.00693333	438.49	418.952	76	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	2	2	0	0.0113667	770.966	989.738	77	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	2	2	0	0.0138333	934.454	429.572	79	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	2	1	0	0.0144267	2424.93	947.588	8	NA	NA	0.05	1	1	5000	1	0.1	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	2	2	0	0.01016	919.309	385.336	80	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	2	1	0	0.0158	2328.5	2356.07	9	NA	NA	0.05	1	1	5000	1	0.1	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	3	4	0	0.0601667	3565.64	2698.95	13	NA	NA	0.05	1	0.3	2000	0.3	0.3	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	3	3	0	0.0322	2881.71	2960.81	15	NA	NA	0.05	1	0.3	2000	0.3	0.3	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	3	5	0	0.06678	4410.75	3210.2	16	NA	NA	0.05	1	0.3	2000	0.3	0.3	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	3	1	0	0.00812	684.065	663.771	17	NA	NA	0.05	1	0.3	2000	0.3	0.3	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	3	2	0	0.0155	836.756	785.756	23	NA	NA	0.05	1	0.1	1000	0.1	0.6	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	3	1	0	0.0102667	524.936	396.563	25	NA	NA	0.05	1	0.1	1000	0.1	0.6	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	3	1	0	0.0331667	2323.52	1863.96	28	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	60	1	1	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	3	1	0	0.0154133	2093.59	2488.64	30	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	60	0.5	0.25	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	3	2	0	0.0534667	5234.74	3713.59	31	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
